price,bed,bath,description,address,address_g,meters_car,meters_walking,seconds_car,seconds_walking,laundry,type,availability,size,nonsmoking,parking,link,latitude,longitude
$540,0,1,Dont just sit there ! Call Brook lane today!,,"100 Oak Leaf Trail, Brown Deer, WI 53223, USA",17579,12701,939,9505,,,available oct 28,400ft2,False,,/apa/5215901751.html,43.163023,-87.965279
$525,1,1,Great One Bedroom By Miller Park,417 N 39th St Milwaukee WI US,"403 N 39th St, Milwaukee, WI 53208, USA",4582,4542,519,3462,,,available sep 02,0,False,,/apa/5202713090.html,43.035042,-87.962786
$600,1,1,11100 Village Brooke Condo - Oct.1st,11100 W Janesville Rd Hales Corners WI US,"11060 W Janesville Rd, Hales Corners, WI 53130, USA",22972,17844,1171,13396,,,available oct 01,0,False,,/apa/5201699261.html,42.938121,-88.051804
$595,0,1,"Downtown Studio Apartments Heat, Gas, Electric INCLUDED! CALL TODAY!!!",,,,,,,,,available sep 10,0,False,,/apa/5211726753.html,0,0
$595,0,1,"Downtown Studios, Off Street Parking, HEAT INCLUDED!!!!! CALL TODAY!!!",,,,,,,,,available sep 10,0,False,,/apa/5211777586.html,0,0
$595,2,1,Large Two Bedroom Upper for Rent,3266 N 3rd ST Milwaukee WI US,"3276 N 3rd St, Milwaukee, WI 53212, USA",5322,4057,441,3008,,,available aug 28,0,False,,/apa/5194817661.html,43.078136,-87.913821
$495,1,1,Great Studio in South Milwaukee,1231 Milwaukee Ave South Milwaukee WI US,"1227 Milwaukee Ave, South Milwaukee, WI 53172, USA",20261,19347,1251,14465,,,available aug 28,0,False,,/apa/5194805248.html,42.910753,-87.866335
$545,2,1,Great Two Bedroom for Rent near 27th & Roosevelt Dr.,4282 N 27th St Milwaukee WI US,"4301-4317 N 27th St, Milwaukee, WI 53216, USA",,,,,,,available sep 10,0,False,,/apa/5215783073.html,43.094819,-87.946902
$495,1,1,Spacious One Bedroom in South Milwaukee,1231 Milwaukee Ave South Milwaukee WI US,"1229 Milwaukee Ave, South Milwaukee, WI 53172, USA",,,,,,,available aug 23,0,False,,/apa/5215779319.html,42.910738,-87.866485
$600,0,1,upper duplex,2435A n 38th at W Meinecke ave Milwaukee WI US,"2425 N 38th St, Milwaukee, WI 53210, USA",,,,,,,available oct 01,0,False,,/apa/5195612057.html,43.063072,-87.961071
